,Susceptible,Exposed,Infected,Deaths,Recovered,Vaccinated
0,7114,0,8,5,5,1544
1,7114,0,8,5,5,1544
2,6314,800,8,5,5,1544
3,5765,1019,338,5,5,1544
4,5314,1132,671,10,5,1544
5,4995,1148,967,16,6,1544
6,4760,1135,1200,31,6,1544
7,4536,1150,1398,42,6,1544
8,4382,1097,1574,66,13,1544
9,4268,1026,1723,94,21,1544
10,4208,919,1828,110,67,1544
11,4155,851,1864,131,131,1544
12,4118,782,1830,157,245,1544
13,4068,730,1733,175,426,1544
14,4043,683,1560,198,648,1544
15,4013,650,1326,214,929,1544
16,3970,652,1120,225,1165,1544
17,3957,594,984,234,1363,1544
18,3943,549,842,244,1554,1544
19,3925,522,732,247,1706,1544
20,3897,515,615,255,1850,1544
21,3866,513,530,257,1966,1544
22,3835,510,457,265,2065,1544
23,3831,485,416,266,2134,1544
24,3814,478,367,272,2201,1544
25,3816,447,334,276,2259,1544
26,3814,416,294,277,2331,1544
27,3805,400,267,278,2382,1544
28,3794,387,249,280,2422,1544
29,3788,369,230,281,2464,1544
30,3778,359,216,282,2497,1544
31,3762,350,201,284,2535,1544
32,3770,324,192,284,2562,1544
33,3764,309,182,285,2592,1544
34,3753,299,175,285,2620,1544
35,3744,296,164,285,2643,1544
36,3734,283,162,287,2666,1544
37,3731,277,152,287,2685,1544
38,3717,274,156,288,2697,1544
39,3708,264,151,288,2721,1544
40,3711,249,142,288,2742,1544
41,3700,243,137,289,2763,1544
42,3704,229,118,289,2792,1544
43,3703,217,113,290,2809,1544
44,3690,219,108,290,2825,1544
45,3686,210,101,290,2845,1544
46,3689,200,90,290,2863,1544
47,3671,202,99,290,2870,1544
48,3673,192,95,290,2882,1544
49,3676,182,84,290,2900,1544
50,3667,185,81,290,2909,1544
51,3672,170,79,290,2921,1544
52,3671,166,74,290,2931,1544
53,3665,165,72,290,2940,1544
54,3668,156,68,290,2950,1544
55,3666,155,65,290,2956,1544
56,3667,149,59,290,2967,1544
57,3668,140,56,290,2978,1544
58,3657,142,55,290,2988,1544
59,3656,135,59,290,2992,1544
60,3653,129,63,290,2997,1544
61,3651,121,70,290,3000,1544
62,3646,118,67,290,3011,1544
63,3650,111,58,290,3023,1544
64,3637,119,54,290,3032,1544
65,3628,120,59,290,3035,1544
66,3627,114,60,290,3041,1544
67,3621,117,56,290,3048,1544
68,3623,108,59,290,3052,1544
69,3619,104,58,290,3061,1544
70,3624,94,58,290,3066,1544
71,3625,87,59,290,3071,1544
72,3622,88,52,290,3080,1544
73,3620,90,46,291,3085,1544
74,3622,83,40,291,3096,1544
75,3623,75,38,291,3105,1544
76,3618,78,34,291,3111,1544
77,3615,78,33,291,3115,1544
78,3615,78,27,291,3121,1544
79,3615,76,28,291,3122,1544
80,3614,74,25,291,3128,1544
81,3608,77,25,291,3131,1544
82,3605,78,23,291,3135,1544
83,3612,66,27,291,3136,1544
84,3610,65,27,291,3139,1544
85,3605,69,27,291,3140,1544
86,3607,64,27,291,3143,1544
87,3609,59,29,291,3144,1544
88,3613,53,28,291,3147,1544
89,3610,56,27,291,3148,1544
90,3609,56,26,291,3150,1544
91,3609,53,28,291,3151,1544
92,3604,56,28,291,3153,1544
93,3606,53,22,291,3160,1544
94,3605,54,18,291,3164,1544
95,3608,50,17,291,3166,1544
96,3607,48,20,291,3166,1544
97,3607,46,20,291,3168,1544
98,3604,49,18,291,3170,1544
99,3604,48,17,291,3172,1544
100,3602,47,19,291,3173,1544
101,3596,49,21,291,3175,1544
102,3600,43,23,291,3175,1544
103,3601,40,22,291,3178,1544
104,3602,35,25,291,3179,1544
105,3601,32,27,291,3181,1544
106,3600,32,26,291,3183,1544
107,3594,36,27,291,3184,1544
108,3598,31,27,291,3185,1544
109,3598,31,25,291,3187,1544
110,3596,32,25,291,3188,1544
111,3592,34,26,291,3189,1544
112,3591,30,29,291,3191,1544
113,3591,29,26,291,3195,1544
114,3591,26,25,291,3199,1544
115,3594,22,24,291,3201,1544
116,3593,22,22,291,3204,1544
117,3593,22,19,291,3207,1544
118,3594,20,19,291,3208,1544
