,Susceptible,Exposed,Infected,Deaths,Recovered,Vaccinated
162,3434,8,10,327,3225,1672
163,3434,7,11,327,3225,1672
164,3436,5,11,327,3225,1672
165,3436,5,11,327,3225,1672
166,3436,5,10,327,3226,1672
167,3435,6,9,327,3227,1672
168,3433,8,9,327,3227,1672
169,3434,7,9,327,3227,1672
170,3435,6,9,327,3227,1672
171,3434,7,8,327,3228,1672
172,3434,5,10,327,3228,1672
173,3434,5,10,327,3228,1672
174,3433,6,9,327,3229,1672
175,3432,7,9,327,3229,1672
176,3434,4,10,327,3229,1672
177,3435,3,9,327,3230,1672
178,3435,3,9,327,3230,1672
179,3434,4,9,327,3230,1672
180,3433,5,9,327,3230,1672
181,3432,6,8,327,3231,1672
182,3433,4,9,327,3231,1672
183,3433,4,9,327,3231,1672
184,3432,5,9,327,3231,1672
185,3434,3,9,327,3231,1672
186,3432,5,9,327,3231,1672
187,3431,6,9,327,3231,1672
188,3431,6,9,327,3231,1672
189,3431,6,8,327,3232,1672
190,3431,6,8,327,3232,1672
191,3430,7,8,327,3232,1672
192,3430,6,9,327,3232,1672
193,3430,6,9,327,3232,1672
194,3430,6,9,327,3232,1672
195,3430,6,9,327,3232,1672
196,3431,5,9,327,3232,1672
197,3432,4,9,327,3232,1672
198,3432,4,9,327,3232,1672
199,3435,1,8,327,3233,1672
200,3432,4,8,327,3233,1672
201,3432,4,8,327,3233,1672
202,3432,4,8,327,3233,1672
203,3433,3,8,327,3233,1672
204,3433,3,8,327,3233,1672
205,3433,3,8,327,3233,1672
206,3433,3,8,327,3233,1672
207,3434,2,8,327,3233,1672
208,3434,2,8,327,3233,1672
209,3434,2,8,327,3233,1672
210,3434,2,8,327,3233,1672
211,3435,1,8,327,3233,1672
212,3435,1,8,327,3233,1672
213,3434,2,8,327,3233,1672
214,3434,2,8,327,3233,1672
215,3433,3,8,327,3233,1672
216,3433,3,8,327,3233,1672
217,3433,3,8,327,3233,1672
218,3433,3,8,327,3233,1672
219,3434,2,8,327,3233,1672
220,3434,2,8,327,3233,1672
221,3432,4,8,327,3233,1672
222,3433,3,8,327,3233,1672
223,3433,3,8,327,3233,1672
224,3432,4,8,327,3233,1672
225,3433,3,8,327,3233,1672
226,3432,4,8,327,3233,1672
227,3433,3,8,327,3233,1672
228,3432,4,8,327,3233,1672
229,3433,3,8,327,3233,1672
230,3433,3,8,327,3233,1672
231,3434,2,8,327,3233,1672
232,3434,2,8,327,3233,1672
233,3433,3,8,327,3233,1672
234,3432,4,8,327,3233,1672
235,3431,5,8,327,3233,1672
236,3432,4,8,327,3233,1672
237,3433,3,8,327,3233,1672
238,3433,3,8,327,3233,1672
239,3433,3,8,327,3233,1672
240,3433,3,8,327,3233,1672
