,Susceptible,Exposed,Infected,Deaths,Recovered,Vaccinated
0,6231,0,8,5,5,2427
1,6231,0,8,5,5,2427
2,5540,691,8,5,5,2427
3,5071,882,286,5,5,2427
4,4614,1077,543,10,5,2427
5,4269,1160,799,16,5,2427
6,4026,1163,1032,22,6,2427
7,3875,1113,1218,37,6,2427
8,3760,1058,1365,56,10,2427
9,3666,1011,1484,67,21,2427
10,3578,975,1567,86,43,2427
11,3538,910,1601,105,95,2427
12,3516,845,1575,123,190,2427
13,3502,783,1477,141,346,2427
14,3491,734,1296,154,574,2427
15,3454,715,1107,165,808,2427
16,3423,688,933,173,1032,2427
17,3395,676,783,179,1216,2427
18,3372,661,662,192,1362,2427
19,3341,644,585,197,1482,2427
20,3325,595,544,202,1583,2427
21,3299,584,471,209,1686,2427
22,3280,559,448,213,1749,2427
23,3275,525,393,215,1841,2427
24,3255,516,356,218,1904,2427
25,3271,468,322,220,1968,2427
26,3261,454,294,222,2018,2427
27,3241,449,270,222,2067,2427
28,3223,434,265,223,2104,2427
29,3223,400,259,225,2142,2427
30,3217,381,247,229,2175,2427
31,3200,375,225,231,2218,2427
32,3199,354,214,231,2251,2427
33,3188,345,201,231,2284,2427
34,3182,339,184,233,2311,2427
35,3157,346,175,233,2338,2427
36,3156,330,169,233,2361,2427
37,3154,314,160,233,2388,2427
38,3154,301,154,233,2407,2427
39,3149,293,139,234,2434,2427
40,3143,282,133,235,2456,2427
41,3149,264,121,235,2480,2427
42,3148,249,116,236,2500,2427
43,3132,252,109,237,2519,2427
44,3119,255,100,239,2536,2427
45,3116,246,100,239,2548,2427
46,3114,237,98,240,2560,2427
47,3117,222,97,240,2573,2427
48,3110,221,99,240,2579,2427
49,3112,212,94,240,2591,2427
50,3103,208,91,240,2607,2427
51,3104,195,89,241,2620,2427
52,3104,187,89,242,2627,2427
53,3101,183,82,243,2640,2427
54,3099,179,79,243,2649,2427
55,3093,179,70,243,2664,2427
56,3095,170,65,243,2676,2427
57,3089,161,68,243,2688,2427
58,3089,150,72,243,2695,2427
59,3087,142,75,243,2702,2427
60,3078,144,77,243,2707,2427
61,3078,135,80,243,2713,2427
62,3072,135,80,243,2719,2427
63,3065,134,77,243,2730,2427
64,3060,132,74,243,2740,2427
65,3062,125,72,243,2747,2427
66,3061,121,71,243,2753,2427
67,3055,121,66,243,2764,2427
68,3057,115,61,244,2772,2427
69,3054,111,59,244,2781,2427
70,3048,111,56,244,2790,2427
71,3047,109,50,244,2799,2427
72,3049,106,43,244,2807,2427
73,3053,97,39,244,2816,2427
74,3045,99,42,244,2819,2427
75,3045,95,38,244,2827,2427
76,3053,86,33,244,2833,2427
77,3049,86,34,244,2836,2427
78,3046,85,30,244,2844,2427
79,3044,83,32,244,2846,2427
80,3044,78,33,244,2850,2427
81,3037,81,35,244,2852,2427
82,3040,76,30,244,2859,2427
83,3037,75,31,244,2862,2427
84,3036,71,34,244,2864,2427
85,3040,64,35,244,2866,2427
86,3038,65,32,244,2870,2427
87,3040,63,28,244,2874,2427
88,3031,70,28,244,2876,2427
89,3033,66,26,244,2880,2427
90,3031,65,25,244,2884,2427
91,3028,66,25,244,2886,2427
92,3027,61,29,244,2888,2427
93,3023,61,29,244,2892,2427
94,3023,58,28,244,2896,2427
95,3024,54,31,244,2896,2427
96,3023,52,30,244,2900,2427
97,3024,49,31,244,2901,2427
98,3022,50,29,244,2904,2427
99,3019,50,29,244,2907,2427
100,3015,52,28,244,2910,2427
101,3020,46,28,244,2911,2427
102,3024,39,29,244,2913,2427
103,3027,34,27,244,2917,2427
104,3022,37,28,244,2918,2427
105,3019,39,25,244,2922,2427
106,3018,39,24,244,2924,2427
107,3024,33,20,244,2928,2427
108,3019,34,22,244,2930,2427
109,3015,37,23,244,2930,2427
110,3019,28,24,244,2934,2427
111,3018,27,25,244,2935,2427
112,3017,26,27,244,2935,2427
113,3018,23,28,244,2936,2427
114,3015,26,27,244,2937,2427
115,3016,25,23,244,2941,2427
116,3019,22,20,244,2944,2427
117,3015,26,20,244,2944,2427
118,3010,30,17,244,2948,2427
119,3006,32,18,244,2949,2427
120,3004,33,18,244,2950,2427
121,3007,28,18,244,2952,2427
122,3008,27,17,244,2953,2427
123,3008,26,17,244,2954,2427
124,3008,25,17,244,2955,2427
125,3010,22,17,244,2956,2427
126,3012,20,15,244,2958,2427
127,3010,21,16,244,2958,2427
128,3008,21,18,244,2958,2427
129,3010,18,15,244,2962,2427
130,3008,20,15,244,2962,2427
131,3007,20,16,244,2962,2427
132,3010,17,14,244,2964,2427
133,3009,17,14,244,2965,2427
134,3008,18,13,244,2966,2427
135,3006,20,11,244,2968,2427
136,3007,18,12,244,2968,2427
137,3008,17,12,244,2968,2427
138,3005,18,12,244,2970,2427
139,3003,20,12,244,2970,2427
140,3007,16,11,244,2971,2427
141,3009,14,10,244,2972,2427
142,3007,16,10,244,2972,2427
143,3010,12,11,244,2972,2427
144,3007,15,9,244,2974,2427
145,3008,12,11,244,2974,2427
146,3005,15,11,244,2974,2427
147,3006,13,11,244,2975,2427
148,3006,13,10,244,2976,2427
