,Susceptible,Exposed,Infected,Deaths,Recovered,Vaccinated
0,7872,0,8,5,5,786
1,7872,0,8,5,5,786
2,7087,785,8,5,5,786
3,6446,1087,347,5,5,786
4,5956,1217,699,13,5,786
5,5570,1273,1011,30,6,786
6,5227,1320,1296,41,6,786
7,5010,1257,1549,67,7,786
8,4844,1193,1741,100,12,786
9,4711,1134,1892,122,31,786
10,4612,1084,1971,158,65,786
11,4580,980,2008,185,137,786
12,4528,911,1973,221,257,786
13,4525,815,1870,251,429,786
14,4474,779,1702,264,671,786
15,4465,704,1495,285,941,786
16,4403,696,1269,304,1218,786
17,4350,690,1071,322,1457,786
18,4323,663,917,333,1654,786
19,4284,651,791,344,1820,786
20,4283,607,680,358,1962,786
21,4262,589,597,362,2080,786
22,4238,577,495,373,2207,786
23,4233,545,451,376,2285,786
24,4204,530,415,380,2361,786
25,4206,491,377,383,2433,786
26,4198,472,348,385,2487,786
27,4182,462,317,388,2541,786
28,4187,429,290,388,2596,786
29,4189,395,256,389,2661,786
30,4180,378,245,390,2697,786
31,4156,380,235,390,2729,786
32,4159,350,224,390,2767,786
33,4140,345,223,391,2791,786
34,4132,332,221,391,2814,786
35,4119,332,202,391,2846,786
36,4126,306,188,393,2877,786
37,4115,302,171,393,2909,786
38,4100,303,156,393,2938,786
39,4099,288,148,394,2961,786
40,4101,273,145,394,2977,786
41,4094,266,137,394,2999,786
42,4091,256,129,394,3020,786
43,4075,264,127,394,3030,786
44,4060,268,120,394,3048,786
45,4065,246,122,395,3062,786
46,4069,233,111,399,3078,786
47,4066,229,99,399,3097,786
48,4062,215,103,399,3111,786
49,4076,193,95,399,3127,786
50,4066,193,90,399,3142,786
51,4063,190,87,399,3151,786
52,4052,194,81,399,3164,786
53,4052,188,79,399,3172,786
54,4056,177,72,399,3186,786
55,4053,167,79,400,3191,786
56,4046,163,81,400,3200,786
57,4037,160,82,401,3210,786
58,4033,159,75,401,3222,786
59,4037,150,73,401,3229,786
60,4034,148,73,401,3234,786
61,4027,151,66,401,3245,786
62,4019,149,67,401,3254,786
63,4019,144,61,401,3265,786
64,4010,146,55,401,3278,786
65,4018,130,54,401,3287,786
66,4013,130,50,401,3296,786
67,4015,123,47,401,3304,786
68,4008,123,49,401,3309,786
69,4007,115,53,401,3314,786
70,3998,118,53,401,3320,786
71,3995,112,57,401,3325,786
72,3994,110,57,401,3328,786
73,3997,103,53,401,3336,786
74,3998,102,48,401,3341,786
75,3996,101,49,401,3343,786
76,3998,94,46,401,3351,786
77,3998,87,43,401,3361,786
78,3990,92,37,401,3370,786
79,3985,91,40,401,3373,786
80,3984,87,39,401,3379,786
81,3984,86,37,401,3382,786
82,3985,81,37,401,3386,786
83,3980,82,38,401,3389,786
84,3975,85,32,401,3397,786
85,3979,78,34,401,3398,786
86,3975,80,35,401,3399,786
87,3979,73,34,401,3403,786
88,3983,69,29,401,3408,786
89,3974,77,25,401,3413,786
90,3971,77,25,401,3416,786
91,3969,75,28,401,3417,786
92,3969,67,31,401,3422,786
93,3970,61,32,401,3426,786
94,3968,61,31,401,3429,786
95,3972,55,30,402,3431,786
96,3977,49,27,402,3435,786
97,3972,48,28,402,3440,786
98,3969,50,27,402,3442,786
99,3965,54,25,402,3444,786
100,3965,51,24,402,3448,786
101,3967,46,26,402,3449,786
102,3965,47,23,402,3453,786
103,3968,42,23,402,3455,786
104,3970,40,22,402,3456,786
105,3971,39,21,402,3457,786
106,3969,40,21,402,3458,786
107,3965,43,20,402,3460,786
108,3964,41,21,402,3462,786
109,3962,41,20,402,3465,786
110,3965,38,20,402,3465,786
111,3962,39,20,402,3467,786
112,3960,39,20,402,3469,786
113,3961,38,18,402,3471,786
114,3961,37,17,402,3473,786
115,3960,35,20,402,3473,786
116,3958,37,18,402,3475,786
117,3959,35,17,402,3477,786
118,3962,32,15,402,3479,786
119,3962,32,14,402,3480,786
120,3961,31,16,402,3480,786
121,3963,28,16,402,3481,786
122,3963,26,17,402,3482,786
123,3961,27,17,402,3483,786
124,3959,29,16,402,3484,786
125,3959,26,17,402,3486,786
126,3962,22,18,402,3486,786
127,3957,25,19,402,3487,786
128,3957,25,16,402,3490,786
129,3954,28,15,402,3491,786
130,3951,30,15,402,3492,786
131,3951,29,15,402,3493,786
132,3952,26,15,402,3495,786
133,3954,23,15,402,3496,786
134,3955,22,12,402,3499,786
135,3954,22,13,402,3499,786
136,3956,20,13,402,3499,786
137,3956,20,12,402,3500,786
138,3955,19,14,402,3500,786
139,3955,19,14,402,3500,786
140,3956,16,16,402,3500,786
141,3953,18,14,402,3503,786
142,3949,22,14,402,3503,786
143,3947,22,16,402,3503,786
144,3947,20,18,402,3503,786
145,3945,20,19,402,3504,786
146,3946,19,19,402,3504,786
147,3945,19,19,402,3505,786
148,3948,15,18,402,3507,786
149,3946,16,16,402,3510,786
150,3946,16,15,402,3511,786
151,3949,12,14,402,3513,786
152,3949,12,13,402,3514,786
153,3950,11,12,402,3515,786
154,3950,11,10,402,3517,786
155,3950,11,10,402,3517,786
156,3950,11,9,402,3518,786
157,3948,13,9,402,3518,786
158,3950,10,10,402,3518,786
159,3947,13,10,402,3518,786
160,3948,12,10,402,3518,786
161,3948,12,10,402,3518,786
162,3948,11,11,402,3518,786
163,3949,9,11,402,3519,786
164,3947,11,10,402,3520,786
165,3948,10,10,402,3520,786
166,3947,11,10,402,3520,786
167,3945,13,10,402,3520,786
168,3945,13,9,402,3521,786
169,3945,13,9,402,3521,786
170,3946,10,11,402,3521,786
171,3944,11,11,402,3522,786
172,3946,9,11,402,3522,786
173,3945,10,11,402,3522,786
174,3947,8,11,402,3522,786
175,3946,9,11,402,3522,786
176,3944,11,10,402,3523,786
177,3944,11,9,402,3524,786
178,3946,9,9,402,3524,786
179,3946,9,8,402,3525,786
180,3946,9,8,402,3525,786
181,3946,9,8,402,3525,786
182,3949,6,8,402,3525,786
183,3950,5,8,402,3525,786
184,3949,6,8,402,3525,786
185,3948,7,8,402,3525,786
186,3948,7,8,402,3525,786
187,3946,9,8,402,3525,786
