,Susceptible,Exposed,Infected,Deaths,Recovered,Vaccinated
0,7888,0,8,5,5,770
1,7888,0,8,5,5,770
2,7036,852,8,5,5,770
3,6331,1189,376,5,5,770
4,5821,1289,781,10,5,770
5,5470,1311,1100,20,5,770
6,5207,1286,1367,39,7,770
7,4984,1267,1584,60,11,770
8,4813,1222,1761,92,18,770
9,4709,1134,1906,121,36,770
10,4625,1055,1990,151,85,770
11,4574,980,2031,177,144,770
12,4550,886,2002,205,263,770
13,4507,836,1884,231,448,770
14,4444,819,1658,259,726,770
15,4417,769,1421,279,1020,770
16,4390,718,1205,287,1306,770
17,4374,681,1048,300,1503,770
18,4343,666,896,306,1695,770
19,4312,641,773,317,1863,770
20,4266,644,670,323,2003,770
21,4247,616,601,326,2116,770
22,4221,609,527,333,2216,770
23,4214,580,471,339,2302,770
24,4226,539,406,343,2392,770
25,4211,519,358,348,2470,770
26,4202,495,330,352,2527,770
27,4192,476,311,355,2572,770
28,4193,446,278,356,2633,770
29,4163,444,264,357,2678,770
30,4153,422,259,360,2712,770
31,4144,413,232,360,2757,770
32,4131,403,224,362,2786,770
33,4129,384,214,364,2815,770
34,4114,376,199,365,2852,770
35,4115,357,188,367,2879,770
36,4106,351,181,369,2899,770
37,4095,342,177,369,2923,770
38,4090,320,172,371,2953,770
39,4090,306,163,373,2974,770
40,4087,292,158,374,2995,770
41,4074,287,151,374,3020,770
42,4063,282,146,374,3041,770
43,4061,264,141,374,3066,770
44,4046,269,132,374,3085,770
45,4038,269,127,374,3098,770
46,4031,267,114,374,3120,770
47,4033,251,112,375,3135,770
48,4037,233,114,375,3147,770
49,4026,233,109,375,3163,770
50,4036,211,105,376,3178,770
51,4029,205,100,377,3195,770
52,4025,199,93,377,3212,770
53,4023,192,90,378,3223,770
54,4016,188,87,378,3237,770
55,4019,172,87,379,3249,770
56,4010,176,82,379,3259,770
57,4007,174,75,379,3271,770
58,4007,165,75,379,3280,770
59,3998,167,70,379,3292,770
60,3997,161,69,379,3300,770
61,3995,161,60,380,3310,770
62,3999,151,57,380,3319,770
63,3996,150,56,380,3324,770
64,3991,151,50,380,3334,770
65,3980,157,47,380,3342,770
66,3979,149,48,380,3350,770
67,3980,141,51,380,3354,770
68,3975,140,53,380,3358,770
69,3968,139,52,380,3367,770
70,3975,122,55,380,3374,770
71,3976,118,55,380,3377,770
72,3972,118,51,382,3383,770
73,3973,109,50,383,3391,770
74,3967,110,52,383,3394,770
75,3962,109,49,383,3403,770
76,3971,97,46,383,3409,770
77,3970,94,46,383,3413,770
78,3967,93,42,384,3420,770
79,3960,95,45,384,3422,770
80,3954,97,43,384,3428,770
81,3949,96,45,384,3432,770
82,3943,99,46,384,3434,770
83,3947,94,38,384,3443,770
84,3948,87,42,384,3445,770
85,3945,87,40,384,3450,770
86,3951,79,35,384,3457,770
87,3948,82,30,384,3462,770
88,3951,77,30,384,3464,770
89,3950,75,30,384,3467,770
90,3950,72,29,384,3471,770
91,3946,72,32,384,3472,770
92,3945,70,29,384,3478,770
93,3943,68,29,384,3482,770
94,3943,67,27,384,3485,770
95,3942,65,27,384,3488,770
96,3944,59,27,384,3492,770
97,3944,54,29,384,3495,770
98,3941,55,28,384,3498,770
99,3938,56,29,384,3499,770
100,3937,56,30,384,3499,770
101,3937,52,30,384,3503,770
102,3938,51,26,384,3507,770
103,3936,51,27,384,3508,770
104,3936,46,29,384,3511,770
105,3930,50,29,384,3513,770
106,3931,47,27,384,3517,770
107,3930,47,26,384,3519,770
108,3930,45,28,384,3519,770
109,3929,43,28,384,3522,770
110,3930,41,27,384,3524,770
111,3927,42,25,384,3528,770
112,3930,37,24,384,3531,770
113,3931,35,22,384,3534,770
114,3928,37,19,384,3538,770
115,3929,33,21,384,3539,770
116,3930,31,18,384,3543,770
117,3929,30,19,384,3544,770
118,3927,31,18,384,3546,770
119,3921,37,17,384,3547,770
120,3922,33,17,384,3550,770
121,3919,35,17,384,3551,770
122,3920,33,17,384,3552,770
123,3921,29,20,384,3552,770
124,3921,27,22,384,3552,770
125,3920,25,24,384,3553,770
126,3920,23,20,384,3559,770
127,3918,25,19,384,3560,770
128,3918,25,19,384,3560,770
129,3918,25,17,384,3562,770
130,3915,28,17,384,3562,770
131,3918,23,17,384,3564,770
132,3917,23,14,384,3568,770
133,3917,23,12,384,3570,770
134,3918,22,11,384,3571,770
135,3915,24,12,384,3571,770
136,3921,17,13,384,3571,770
137,3920,17,14,384,3571,770
138,3919,18,12,384,3573,770
139,3919,17,13,384,3573,770
140,3913,23,13,384,3573,770
141,3913,21,15,384,3573,770
142,3913,19,14,384,3576,770
143,3913,19,14,384,3576,770
144,3913,19,14,384,3576,770
145,3911,20,13,384,3578,770
146,3911,19,12,384,3580,770
147,3911,19,11,384,3581,770
148,3911,19,10,384,3582,770
149,3915,14,11,384,3582,770
150,3914,15,11,384,3582,770
151,3913,15,11,384,3583,770
152,3916,12,11,384,3583,770
153,3915,13,11,384,3583,770
154,3915,12,11,384,3584,770
155,3915,12,11,384,3584,770
156,3912,15,11,384,3584,770
157,3912,15,11,384,3584,770
158,3913,13,11,384,3585,770
159,3914,12,10,384,3586,770
160,3914,10,11,384,3587,770
161,3913,10,12,384,3587,770
162,3912,11,12,384,3587,770
163,3912,11,12,384,3587,770
164,3911,12,12,384,3587,770
165,3910,13,12,384,3587,770
166,3912,11,11,384,3588,770
167,3909,14,10,384,3589,770
168,3909,13,10,384,3590,770
